Gene_Original	Gene_Query	Status	UniProt_ID	Entry_Name	Curacao	Nome_Proteina	Gene_Primario_UniProt	Sinonimos	Tamanho_aa	Link_UniProt
PLCG1	PLCG1	Mapeado	P19174	PLCG1_HUMAN	Swiss-Prot (Reviewed)	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1	PLCG1	PLC1	1290	https://www.uniprot.org/uniprotkb/P19174/entry
JAK2	JAK2	Mapeado	O60674	JAK2_HUMAN	Swiss-Prot (Reviewed)	Tyrosine-protein kinase JAK2	JAK2		1132	https://www.uniprot.org/uniprotkb/O60674/entry
IL23A	IL23A	Mapeado	Q9NPF7	IL23A_HUMAN	Swiss-Prot (Reviewed)	Interleukin-23 subunit alpha	IL23A	SGRF	189	https://www.uniprot.org/uniprotkb/Q9NPF7/entry
IL23R	IL23R	Mapeado	Q5VWK5	IL23R_HUMAN	Swiss-Prot (Reviewed)	Interleukin-23 receptor	IL23R		629	https://www.uniprot.org/uniprotkb/Q5VWK5/entry
ERAP1	ERAP1	Mapeado	Q9NZ08	ERAP1_HUMAN	Swiss-Prot (Reviewed)	Endoplasmic reticulum aminopeptidase 1	ERAP1	APPILS, ARTS1, KIAA0525	941	https://www.uniprot.org/uniprotkb/Q9NZ08/entry
RUNX3	RUNX3	Mapeado	Q13761	RUNX3_HUMAN	Swiss-Prot (Reviewed)	Runt-related transcription factor 3	RUNX3	AML2, CBFA3, PEBP2A3	415	https://www.uniprot.org/uniprotkb/Q13761/entry
FOS	FOS	Mapeado	P01100	FOS_HUMAN	Swiss-Prot (Reviewed)	Protein c-Fos	FOS	G0S7	380	https://www.uniprot.org/uniprotkb/P01100/entry
JUN	JUN	Mapeado	P05412	JUN_HUMAN	Swiss-Prot (Reviewed)	Transcription factor Jun	JUN		331	https://www.uniprot.org/uniprotkb/P05412/entry
JUNB	JUNB	Mapeado	P17275	JUNB_HUMAN	Swiss-Prot (Reviewed)	Transcription factor JunB	JUNB		347	https://www.uniprot.org/uniprotkb/P17275/entry
GZMK	GZMK	Mapeado	P49863	GRAK_HUMAN	Swiss-Prot (Reviewed)	Granzyme K	GZMK	TRYP2	264	https://www.uniprot.org/uniprotkb/P49863/entry
CD8A	CD8A	Mapeado	P01732	CD8A_HUMAN	Swiss-Prot (Reviewed)	T-cell surface glycoprotein CD8 alpha chain	CD8A	MAL	235	https://www.uniprot.org/uniprotkb/P01732/entry
CD160	CD160	Mapeado	O95971	BY55_HUMAN	Swiss-Prot (Reviewed)	CD160 antigen	CD160	BY55	181	https://www.uniprot.org/uniprotkb/O95971/entry
GZMB	GZMB	Mapeado	P10144	GRAB_HUMAN	Swiss-Prot (Reviewed)	Granzyme B	GZMB	CGL1, CSPB, CTLA1, GRB	247	https://www.uniprot.org/uniprotkb/P10144/entry
NKG7	NKG7	Mapeado	Q16617	NKG7_HUMAN	Swiss-Prot (Reviewed)	Protein NKG7	NKG7	GIG1	165	https://www.uniprot.org/uniprotkb/Q16617/entry
CD19	CD19	Mapeado	P15391	CD19_HUMAN	Swiss-Prot (Reviewed)	B-lymphocyte antigen CD19	CD19		556	https://www.uniprot.org/uniprotkb/P15391/entry
CD68	CD68	Mapeado	P34810	CD68_HUMAN	Swiss-Prot (Reviewed)	Macrosialin	CD68		354	https://www.uniprot.org/uniprotkb/P34810/entry
S100A12	S100A12	Mapeado	P80511	S10AC_HUMAN	Swiss-Prot (Reviewed)	Protein S100-A12	S100A12		92	https://www.uniprot.org/uniprotkb/P80511/entry
CD83	CD83	Mapeado	Q01151	CD83_HUMAN	Swiss-Prot (Reviewed)	CD83 antigen	CD83		205	https://www.uniprot.org/uniprotkb/Q01151/entry
CX3CR1	CX3CR1	Mapeado	P49238	CX3C1_HUMAN	Swiss-Prot (Reviewed)	CX3C chemokine receptor 1	CX3CR1	CMKBRL1, GPR13	355	https://www.uniprot.org/uniprotkb/P49238/entry
CEBPA	CEBPA	Mapeado	P49715	CEBPA_HUMAN	Swiss-Prot (Reviewed)	CCAAT/enhancer-binding protein alpha	CEBPA	CEBP	358	https://www.uniprot.org/uniprotkb/P49715/entry
JUND	JUND	Mapeado	P17535	JUND_HUMAN	Swiss-Prot (Reviewed)	Transcription factor JunD	JUND		347	https://www.uniprot.org/uniprotkb/P17535/entry
CEBPG	CEBPG	Mapeado	P53567	CEBPG_HUMAN	Swiss-Prot (Reviewed)	CCAAT/enhancer-binding protein gamma	CEBPG		150	https://www.uniprot.org/uniprotkb/P53567/entry
FOSL1	FOSL1	Mapeado	P15407	FOSL1_HUMAN	Swiss-Prot (Reviewed)	Fos-related antigen 1	FOSL1	FRA1	271	https://www.uniprot.org/uniprotkb/P15407/entry
TBX21	TBX21	Mapeado	Q9UL17	TBX21_HUMAN	Swiss-Prot (Reviewed)	T-box transcription factor TBX21	TBX21	TBET, TBLYM	535	https://www.uniprot.org/uniprotkb/Q9UL17/entry
RELA	RELA	Mapeado	Q04206	TF65_HUMAN	Swiss-Prot (Reviewed)	Transcription factor p65	RELA	NFKB3	551	https://www.uniprot.org/uniprotkb/Q04206/entry
PRDM1	PRDM1	Mapeado	O75626	PRDM1_HUMAN	Swiss-Prot (Reviewed)	PR domain zinc finger protein 1	PRDM1	BLIMP1	825	https://www.uniprot.org/uniprotkb/O75626/entry
TLR4	TLR4	Mapeado	O00206	TLR4_HUMAN	Swiss-Prot (Reviewed)	Toll-like receptor 4	TLR4		839	https://www.uniprot.org/uniprotkb/O00206/entry
EGFR	EGFR	Mapeado	P00533	EGFR_HUMAN	Swiss-Prot (Reviewed)	Epidermal growth factor receptor	EGFR	ERBB, ERBB1, HER1	1210	https://www.uniprot.org/uniprotkb/P00533/entry
SOD2	SOD2	Mapeado	P04179	SODM_HUMAN	Swiss-Prot (Reviewed)	Superoxide dismutase [Mn], mitochondrial	SOD2		222	https://www.uniprot.org/uniprotkb/P04179/entry
VCAM1	VCAM1	Mapeado	P19320	VCAM1_HUMAN	Swiss-Prot (Reviewed)	Vascular cell adhesion protein 1	VCAM1		739	https://www.uniprot.org/uniprotkb/P19320/entry
CTSB	CTSB	Mapeado	P07858	CATB_HUMAN	Swiss-Prot (Reviewed)	Cathepsin B	CTSB	CPSB	339	https://www.uniprot.org/uniprotkb/P07858/entry
TNFRSF1A	TNFRSF1A	Mapeado	P19438	TNR1A_HUMAN	Swiss-Prot (Reviewed)	Tumor necrosis factor receptor superfamily member 1A	TNFRSF1A	TNFAR, TNFR1	455	https://www.uniprot.org/uniprotkb/P19438/entry
CD63	CD63	Mapeado	P08962	CD63_HUMAN	Swiss-Prot (Reviewed)	CD63 antigen	CD63	MLA1, TSPAN30	238	https://www.uniprot.org/uniprotkb/P08962/entry
RPS26	RPS26	Mapeado	P62854	RS26_HUMAN	Swiss-Prot (Reviewed)	Small ribosomal subunit protein eS26	RPS26		115	https://www.uniprot.org/uniprotkb/P62854/entry
JDP2	JDP2	Mapeado	Q8WYK2	JDP2_HUMAN	Swiss-Prot (Reviewed)	Jun dimerization protein 2	JDP2		163	https://www.uniprot.org/uniprotkb/Q8WYK2/entry
YWHAB	YWHAB	Mapeado	P31946	1433B_HUMAN	Swiss-Prot (Reviewed)	14-3-3 protein beta/alpha	YWHAB		246	https://www.uniprot.org/uniprotkb/P31946/entry
IL21	IL21	Mapeado	Q9HBE4	IL21_HUMAN	Swiss-Prot (Reviewed)	Interleukin-21	IL21		162	https://www.uniprot.org/uniprotkb/Q9HBE4/entry
IL1A	IL1A	Mapeado	P01583	IL1A_HUMAN	Swiss-Prot (Reviewed)	Interleukin-1 alpha	IL1A	IL1F1	271	https://www.uniprot.org/uniprotkb/P01583/entry
EZH2	EZH2	Mapeado	Q15910	EZH2_HUMAN	Swiss-Prot (Reviewed)	Histone-lysine N-methyltransferase EZH2	EZH2	KMT6	746	https://www.uniprot.org/uniprotkb/Q15910/entry
RORC	RORC	Mapeado	P51449	RORG_HUMAN	Swiss-Prot (Reviewed)	Nuclear receptor ROR-gamma	RORC	NR1F3, RORG, RZRG	518	https://www.uniprot.org/uniprotkb/P51449/entry
KDM5B	KDM5B	Mapeado	Q9UGL1	KDM5B_HUMAN	Swiss-Prot (Reviewed)	Lysine-specific demethylase 5B	KDM5B	JARID1B, PLU1, RBBP2H1	1544	https://www.uniprot.org/uniprotkb/Q9UGL1/entry
PGD	PGD	Mapeado	P52209	6PGD_HUMAN	Swiss-Prot (Reviewed)	6-phosphogluconate dehydrogenase, decarboxylating	PGD	PGDH	483	https://www.uniprot.org/uniprotkb/P52209/entry
ACKR2	ACKR2	Mapeado	O00590	ACKR2_HUMAN	Swiss-Prot (Reviewed)	Atypical chemokine receptor 2	ACKR2	CCBP2, CCR10, CMKBR9, D6	384	https://www.uniprot.org/uniprotkb/O00590/entry
FOXP3	FOXP3	Mapeado	Q9BZS1	FOXP3_HUMAN	Swiss-Prot (Reviewed)	Forkhead box protein P3	FOXP3	IPEX	431	https://www.uniprot.org/uniprotkb/Q9BZS1/entry
S100A9	S100A9	Mapeado	P06702	S10A9_HUMAN	Swiss-Prot (Reviewed)	Protein S100-A9	S100A9	CAGB, CFAG, MRP14	114	https://www.uniprot.org/uniprotkb/P06702/entry
CXCL8	CXCL8	Mapeado	P10145	IL8_HUMAN	Swiss-Prot (Reviewed)	Interleukin-8	CXCL8	IL8	99	https://www.uniprot.org/uniprotkb/P10145/entry
CXCR2	CXCR2	Mapeado	P25025	CXCR2_HUMAN	Swiss-Prot (Reviewed)	C-X-C chemokine receptor type 2	CXCR2	IL8RB	360	https://www.uniprot.org/uniprotkb/P25025/entry
CCR6	CCR6	Mapeado	P51684	CCR6_HUMAN	Swiss-Prot (Reviewed)	C-C chemokine receptor type 6	CCR6	CKRL3, CMKBR6, GPR29, STRL22	374	https://www.uniprot.org/uniprotkb/P51684/entry
PDCD1	PDCD1	Mapeado	Q15116	PDCD1_HUMAN	Swiss-Prot (Reviewed)	Programmed cell death protein 1	PDCD1	PD1	288	https://www.uniprot.org/uniprotkb/Q15116/entry
MAF	MAF	Mapeado	O75444	MAF_HUMAN	Swiss-Prot (Reviewed)	Transcription factor Maf	MAF		373	https://www.uniprot.org/uniprotkb/O75444/entry
IFNG	IFNG	Mapeado	P01579	IFNG_HUMAN	Swiss-Prot (Reviewed)	Interferon gamma	IFNG		166	https://www.uniprot.org/uniprotkb/P01579/entry
IL17F	IL17F	Mapeado	Q96PD4	IL17F_HUMAN	Swiss-Prot (Reviewed)	Interleukin-17F	IL17F		163	https://www.uniprot.org/uniprotkb/Q96PD4/entry
IL22	IL22	Mapeado	Q9GZX6	IL22_HUMAN	Swiss-Prot (Reviewed)	Interleukin-22	IL22	ILTIF, ZCYTO18	179	https://www.uniprot.org/uniprotkb/Q9GZX6/entry
CTSK	CTSK	Mapeado	P43235	CATK_HUMAN	Swiss-Prot (Reviewed)	Cathepsin K	CTSK	CTSO, CTSO2	329	https://www.uniprot.org/uniprotkb/P43235/entry
ACP5	ACP5	Mapeado	P13686	PPA5_HUMAN	Swiss-Prot (Reviewed)	Tartrate-resistant acid phosphatase type 5	ACP5		325	https://www.uniprot.org/uniprotkb/P13686/entry
CD4	CD4	Mapeado	P01730	CD4_HUMAN	Swiss-Prot (Reviewed)	T-cell surface glycoprotein CD4	CD4		458	https://www.uniprot.org/uniprotkb/P01730/entry
CD80	CD80	Mapeado	P33681	CD80_HUMAN	Swiss-Prot (Reviewed)	T-lymphocyte activation antigen CD80	CD80	CD28LG, CD28LG1, LAB7	288	https://www.uniprot.org/uniprotkb/P33681/entry
CD86	CD86	Mapeado	P42081	CD86_HUMAN	Swiss-Prot (Reviewed)	T-lymphocyte activation antigen CD86	CD86	CD28LG2	329	https://www.uniprot.org/uniprotkb/P42081/entry
TRAF3IP2	TRAF3IP2	Mapeado	O43734	CIKS_HUMAN	Swiss-Prot (Reviewed)	E3 ubiquitin ligase TRAF3IP2	TRAF3IP2	C6orf2, C6orf4, C6orf5, C6orf6	574	https://www.uniprot.org/uniprotkb/O43734/entry
AHR	AHR	Mapeado	P35869	AHR_HUMAN	Swiss-Prot (Reviewed)	Aryl hydrocarbon receptor	AHR	BHLHE76	848	https://www.uniprot.org/uniprotkb/P35869/entry
SGK1	SGK1	Mapeado	O00141	SGK1_HUMAN	Swiss-Prot (Reviewed)	Serine/threonine-protein kinase Sgk1	SGK1	SGK	431	https://www.uniprot.org/uniprotkb/O00141/entry
SOX4	SOX4	Mapeado	Q06945	SOX4_HUMAN	Swiss-Prot (Reviewed)	Transcription factor SOX-4	SOX4		474	https://www.uniprot.org/uniprotkb/Q06945/entry
KIR3DL1	KIR3DL1	Mapeado	P43629	KI3L1_HUMAN	Swiss-Prot (Reviewed)	Killer cell immunoglobulin-like receptor 3DL1	KIR3DL1	CD158E, NKAT3, NKB1	444	https://www.uniprot.org/uniprotkb/P43629/entry
IL33	IL33	Mapeado	O95760	IL33_HUMAN	Swiss-Prot (Reviewed)	Interleukin-33	IL33	C9orf26, IL1F11, NFHEV	270	https://www.uniprot.org/uniprotkb/O95760/entry
CSF2	CSF2	Mapeado	P04141	CSF2_HUMAN	Swiss-Prot (Reviewed)	Granulocyte-macrophage colony-stimulating factor	CSF2	GMCSF	144	https://www.uniprot.org/uniprotkb/P04141/entry
IL1B	IL1B	Mapeado	P01584	IL1B_HUMAN	Swiss-Prot (Reviewed)	Interleukin-1 beta	IL1B	IL1F2	269	https://www.uniprot.org/uniprotkb/P01584/entry
GJB2	GJB2	Mapeado	P29033	CXB2_HUMAN	Swiss-Prot (Reviewed)	Gap junction beta-2 protein	GJB2		226	https://www.uniprot.org/uniprotkb/P29033/entry
ACP7	ACP7	Mapeado	Q6ZNF0	ACP7_HUMAN	Swiss-Prot (Reviewed)	Acid phosphatase type 7	ACP7	PAPL, PAPL1	438	https://www.uniprot.org/uniprotkb/Q6ZNF0/entry
TGFA	TGFA	Mapeado	P01135	TGFA_HUMAN	Swiss-Prot (Reviewed)	Protransforming growth factor alpha	TGFA		160	https://www.uniprot.org/uniprotkb/P01135/entry
SLC7A5	SLC7A5	Mapeado	Q01650	LAT1_HUMAN	Swiss-Prot (Reviewed)	Large neutral amino acids transporter small subunit 1	SLC7A5	CD98LC, LAT1, MPE16	507	https://www.uniprot.org/uniprotkb/Q01650/entry
FUT2	FUT2	Mapeado	Q10981	FUT2_HUMAN	Swiss-Prot (Reviewed)	Galactoside alpha-(1,2)-fucosyltransferase 2	FUT2	SEC2	343	https://www.uniprot.org/uniprotkb/Q10981/entry
UTP11	UTP11	Mapeado	Q9Y3A2	UTP11_HUMAN	Swiss-Prot (Reviewed)	Probable U3 small nucleolar RNA-associated protein 11	UTP11	UTP11L	253	https://www.uniprot.org/uniprotkb/Q9Y3A2/entry
ADIPOQ	ADIPOQ	Mapeado	Q15848	ADIPO_HUMAN	Swiss-Prot (Reviewed)	Adiponectin	ADIPOQ	ACDC, ACRP30, APM1, GBP28	244	https://www.uniprot.org/uniprotkb/Q15848/entry
HIF1A	HIF1A	Mapeado	Q16665	HIF1A_HUMAN	Swiss-Prot (Reviewed)	Hypoxia-inducible factor 1-alpha	HIF1A	BHLHE78, MOP1, PASD8	826	https://www.uniprot.org/uniprotkb/Q16665/entry
IL6R	IL6R	Mapeado	P08887	IL6RA_HUMAN	Swiss-Prot (Reviewed)	Interleukin-6 receptor subunit alpha	IL6R		468	https://www.uniprot.org/uniprotkb/P08887/entry
IFNGR1	IFNGR1	Mapeado	P15260	INGR1_HUMAN	Swiss-Prot (Reviewed)	Interferon gamma receptor 1	IFNGR1		489	https://www.uniprot.org/uniprotkb/P15260/entry
PPARG	PPARG	Mapeado	P37231	PPARG_HUMAN	Swiss-Prot (Reviewed)	Peroxisome proliferator-activated receptor gamma	PPARG	NR1C3	505	https://www.uniprot.org/uniprotkb/P37231/entry
GAPDH	GAPDH	Mapeado	P04406	G3P_HUMAN	Swiss-Prot (Reviewed)	Glyceraldehyde-3-phosphate dehydrogenase	GAPDH	GAPD	335	https://www.uniprot.org/uniprotkb/P04406/entry
TNFAIP3	TNFAIP3	Mapeado	P21580	TNAP3_HUMAN	Swiss-Prot (Reviewed)	Tumor necrosis factor alpha-induced protein 3	TNFAIP3	OTUD7C	790	https://www.uniprot.org/uniprotkb/P21580/entry
CCL3	CCL3	Mapeado	P10147	CCL3_HUMAN	Swiss-Prot (Reviewed)	C-C motif chemokine 3	CCL3	G0S19-1, MIP1A, SCYA3	92	https://www.uniprot.org/uniprotkb/P10147/entry
IL18	IL18	Mapeado	Q14116	IL18_HUMAN	Swiss-Prot (Reviewed)	Interleukin-18	IL18	IGIF, IL1F4	193	https://www.uniprot.org/uniprotkb/Q14116/entry
RIT1	RIT1	Mapeado	Q92963	RIT1_HUMAN	Swiss-Prot (Reviewed)	GTP-binding protein Rit1	RIT1	RIBB, RIT, ROC1	219	https://www.uniprot.org/uniprotkb/Q92963/entry
BGLAP	BGLAP	Mapeado	P02818	OSTCN_HUMAN	Swiss-Prot (Reviewed)	Osteocalcin	BGLAP		100	https://www.uniprot.org/uniprotkb/P02818/entry
IL10	IL10	Mapeado	P22301	IL10_HUMAN	Swiss-Prot (Reviewed)	Interleukin-10	IL10		178	https://www.uniprot.org/uniprotkb/P22301/entry
PTGS1	PTGS1	Mapeado	P23219	PGH1_HUMAN	Swiss-Prot (Reviewed)	Prostaglandin G/H synthase 1	PTGS1	COX1	599	https://www.uniprot.org/uniprotkb/P23219/entry
ITGAX	ITGAX	Mapeado	P20702	ITAX_HUMAN	Swiss-Prot (Reviewed)	Integrin alpha-X	ITGAX	CD11C	1163	https://www.uniprot.org/uniprotkb/P20702/entry
NPEPPS	NPEPPS	Mapeado	P55786	PSA_HUMAN	Swiss-Prot (Reviewed)	Puromycin-sensitive aminopeptidase	NPEPPS	PSA	919	https://www.uniprot.org/uniprotkb/P55786/entry
ITGAM	ITGAM	Mapeado	P11215	ITAM_HUMAN	Swiss-Prot (Reviewed)	Integrin alpha-M	ITGAM	CD11B, CR3A	1152	https://www.uniprot.org/uniprotkb/P11215/entry
SOST	SOST	Mapeado	Q9BQB4	SOST_HUMAN	Swiss-Prot (Reviewed)	Sclerostin	SOST		213	https://www.uniprot.org/uniprotkb/Q9BQB4/entry
DKK1	DKK1	Mapeado	O94907	DKK1_HUMAN	Swiss-Prot (Reviewed)	Dickkopf-related protein 1	DKK1		266	https://www.uniprot.org/uniprotkb/O94907/entry
TNFSF11	TNFSF11	Mapeado	O14788	TNF11_HUMAN	Swiss-Prot (Reviewed)	Tumor necrosis factor ligand superfamily member 11	TNFSF11	OPGL, RANKL, TRANCE	317	https://www.uniprot.org/uniprotkb/O14788/entry
SPP1	SPP1	Mapeado	P10451	OSTP_HUMAN	Swiss-Prot (Reviewed)	Osteopontin	SPP1	BNSP, OPN	314	https://www.uniprot.org/uniprotkb/P10451/entry
IFNLR1	IFNLR1	Mapeado	Q8IU57	INLR1_HUMAN	Swiss-Prot (Reviewed)	Interferon lambda receptor 1	IFNLR1	IL28RA, LICR2	520	https://www.uniprot.org/uniprotkb/Q8IU57/entry
STAT1	STAT1	Mapeado	P42224	STAT1_HUMAN	Swiss-Prot (Reviewed)	Signal transducer and activator of transcription 1-alpha/beta	STAT1		750	https://www.uniprot.org/uniprotkb/P42224/entry
CD40	CD40	Mapeado	P25942	TNR5_HUMAN	Swiss-Prot (Reviewed)	Tumor necrosis factor receptor superfamily member 5	CD40	TNFRSF5	277	https://www.uniprot.org/uniprotkb/P25942/entry
RSAD2	RSAD2	Mapeado	Q8WXG1	RSAD2_HUMAN	Swiss-Prot (Reviewed)	S-adenosylmethionine-dependent nucleotide dehydratase RSAD2	RSAD2	CIG5	361	https://www.uniprot.org/uniprotkb/Q8WXG1/entry
IL15	IL15	Mapeado	P40933	IL15_HUMAN	Swiss-Prot (Reviewed)	Interleukin-15	IL15		162	https://www.uniprot.org/uniprotkb/P40933/entry
MMP9	MMP9	Mapeado	P14780	MMP9_HUMAN	Swiss-Prot (Reviewed)	Matrix metalloproteinase-9	MMP9	CLG4B	707	https://www.uniprot.org/uniprotkb/P14780/entry
NAMPT	NAMPT	Mapeado	P43490	NAMPT_HUMAN	Swiss-Prot (Reviewed)	Nicotinamide phosphoribosyltransferase	NAMPT	PBEF, PBEF1	491	https://www.uniprot.org/uniprotkb/P43490/entry
VEGFA	VEGFA	Mapeado	P15692	VEGFA_HUMAN	Swiss-Prot (Reviewed)	Vascular endothelial growth factor A, long form	VEGFA	VEGF	395	https://www.uniprot.org/uniprotkb/P15692/entry
IL37	IL37	Mapeado	Q9NZH6	IL37_HUMAN	Swiss-Prot (Reviewed)	Interleukin-37	IL37	FIL1Z, IL1F7, IL1H4, IL1RP1	218	https://www.uniprot.org/uniprotkb/Q9NZH6/entry
CRP	CRP	Mapeado	P02741	CRP_HUMAN	Swiss-Prot (Reviewed)	C-reactive protein	CRP	PTX1	224	https://www.uniprot.org/uniprotkb/P02741/entry
PTPN22	PTPN22	Mapeado	Q9Y2R2	PTN22_HUMAN	Swiss-Prot (Reviewed)	Tyrosine-protein phosphatase non-receptor type 22	PTPN22	PTPN8	807	https://www.uniprot.org/uniprotkb/Q9Y2R2/entry
IL6	IL6	Mapeado	P05231	IL6_HUMAN	Swiss-Prot (Reviewed)	Interleukin-6	IL6	IFNB2	212	https://www.uniprot.org/uniprotkb/P05231/entry
S100A8	S100A8	Mapeado	P05109	S10A8_HUMAN	Swiss-Prot (Reviewed)	Protein S100-A8	S100A8	CAGA, CFAG, MRP8	93	https://www.uniprot.org/uniprotkb/P05109/entry
MMP3	MMP3	Mapeado	P08254	MMP3_HUMAN	Swiss-Prot (Reviewed)	Stromelysin-1	MMP3	STMY1	477	https://www.uniprot.org/uniprotkb/P08254/entry
PTX3	PTX3	Mapeado	P26022	PTX3_HUMAN	Swiss-Prot (Reviewed)	Pentraxin-related protein PTX3	PTX3	TNFAIP5, TSG14	381	https://www.uniprot.org/uniprotkb/P26022/entry
LEP	LEP	Mapeado	P41159	LEP_HUMAN	Swiss-Prot (Reviewed)	Leptin	LEP	OB, OBS	167	https://www.uniprot.org/uniprotkb/P41159/entry
TNFSF15	TNFSF15	Mapeado	O95150	TNF15_HUMAN	Swiss-Prot (Reviewed)	Tumor necrosis factor ligand superfamily member 15	TNFSF15	TL1, TL1A, VEGI	251	https://www.uniprot.org/uniprotkb/O95150/entry
IRAK1	IRAK1	Mapeado	P51617	IRAK1_HUMAN	Swiss-Prot (Reviewed)	Interleukin-1 receptor-associated kinase 1	IRAK1	IRAK	712	https://www.uniprot.org/uniprotkb/P51617/entry
TLR9	TLR9	Mapeado	Q9NR96	TLR9_HUMAN	Swiss-Prot (Reviewed)	Toll-like receptor 9	TLR9		1032	https://www.uniprot.org/uniprotkb/Q9NR96/entry
MIR146A	MIR146A	Não Encontrado no UniProtKB (Proteína)	-	-	-	Não codificante / miRNA / lncRNA / Pseudogene / Não encontrado	-	-	-	-
PSMD7	PSMD7	Mapeado	P51665	PSMD7_HUMAN	Swiss-Prot (Reviewed)	26S proteasome non-ATPase regulatory subunit 7	PSMD7	MOV34L	324	https://www.uniprot.org/uniprotkb/P51665/entry
TLR2	TLR2	Mapeado	O60603	TLR2_HUMAN	Swiss-Prot (Reviewed)	Toll-like receptor 2	TLR2	TIL4	784	https://www.uniprot.org/uniprotkb/O60603/entry
PTGS2	PTGS2	Mapeado	P35354	PGH2_HUMAN	Swiss-Prot (Reviewed)	Prostaglandin G/H synthase 2	PTGS2	COX2	604	https://www.uniprot.org/uniprotkb/P35354/entry
ICAM1	ICAM1	Mapeado	P05362	ICAM1_HUMAN	Swiss-Prot (Reviewed)	Intercellular adhesion molecule 1	ICAM1		532	https://www.uniprot.org/uniprotkb/P05362/entry
IL7	IL7	Mapeado	P13232	IL7_HUMAN	Swiss-Prot (Reviewed)	Interleukin-7	IL7		177	https://www.uniprot.org/uniprotkb/P13232/entry
